county,month,rainfall_mm,temperature_c,humidity,soil_moisture_index
Nakuru,9,119.46011101048265,24.298954095262925,63.623920725298404,0.5773657080679304
Nakuru,10,77.69156284176398,22.489573037651404,66.70578538830307,0.7264832081162318
Nakuru,11,152.90179648412754,19.3480097068016,56.461650085131375,0.6410426262823316
Nakuru,12,71.1662540011591,24.205688924418084,68.63333042276042,0.6820885582309093
Bungoma,1,128.3545438001902,20.813088858821686,46.220009997561974,0.3692207435427839
Bungoma,2,41.613195044808975,25.420777291905544,46.493927549968575,0.3064637262678337
Bungoma,3,66.87255804406277,21.241727297298592,77.90402242638633,0.6503688509845151
Bungoma,4,127.87444943476494,28.649803215052618,59.40762565645052,0.6841008435603585
Bungoma,5,149.53866319981643,21.65024012299129,50.082420506075394,0.794303085200404
Bungoma,6,126.85473124759882,23.033815451382974,65.88973040219217,0.44757060614685595
Bungoma,7,115.37406870447037,26.440551652109008,75.79974212394444,0.42321085147566995
Bungoma,8,107.95585217642845,20.307407050698135,53.63284109987373,0.6658477764451982
Bungoma,9,60.8591203853029,24.68237980381239,69.91561903276,0.40448212415181073
Bungoma,10,91.20623166421166,27.921428262847286,48.41389859975072,0.758454395362139
Bungoma,11,101.5744491616085,19.17755029631632,47.067268846744305,0.7150476511058073
Bungoma,12,162.2848890487566,24.553901575596914,66.25418526272591,0.45739641642501105
Kericho,1,133.74473158273847,24.779648382745272,66.62540486440426,0.6505226406748985
Kericho,2,49.47839378549064,26.34546861533193,70.49719605992826,0.6527257244508096
Kericho,3,132.9633587757918,20.289147867365756,74.04365334890646,0.2618743213015596
Kericho,4,104.59670878334734,20.03863016074717,84.03408317850139,0.74153174400774
Kericho,5,92.92311998776165,25.565824696850694,65.65201393204781,0.5031514234687143
Kericho,6,144.46705155363472,24.890954019699556,57.91825891764984,0.695874479664645
Kericho,7,161.23998089983803,24.75147855103763,76.80744779074814,0.3920297606183671
Kericho,8,157.25120476464795,25.039344628490927,55.83329005048297,0.7373139370977204
Kericho,9,86.43129907109446,21.959925835264528,62.558856828225444,0.4335210072404979
Kericho,10,107.63150496595142,24.696761091483012,48.13825525369064,0.20650259088817902
Kericho,11,133.25053725614256,24.879217419896044,46.0140297366183,0.7432291858515583
Kericho,12,159.02180508489437,21.856945745920896,83.505936587117,0.25477200607168016
Embu,1,100.8330304861884,29.59732353343427,78.43920482048824,0.391588182554249
Embu,2,112.57364093344731,25.42149876273536,72.83896824374793,0.7700371802304831
Embu,3,75.74660103975887,20.426089508392053,61.35811777657079,0.7703642881625337
Embu,4,72.15173503677318,25.96966082590149,51.931772802833834,0.5440627328739718
Embu,5,152.50103289576793,21.075954989318035,51.25748170684344,0.5791023273018796
Embu,6,174.24960114283292,26.361253811227357,55.00971592658381,0.4690673131869919
Embu,7,117.11959513678664,27.47578673702221,66.96906658824481,0.37592646301883875
Embu,8,160.14131591568096,21.537953044944867,73.5838369080025,0.3971987272219496
Embu,9,134.46544100190536,26.890128387732965,71.40789506870925,0.6035110736462231
Embu,10,94.19520981579502,25.238342780809496,56.197355877837715,0.651424717662608
Embu,11,134.45582422033655,26.46618047998347,83.19461122652777,0.6749474262355092
Embu,12,181.52146265863877,29.690378947961843,74.51587666783074,0.6737708856767324
Meru,1,118.56695843560193,23.26383565199139,67.17416210045603,0.25472366182921424
Meru,2,182.58574623256024,21.73879150692753,69.46882984937409,0.49665218282154894
Meru,3,15.210195836410222,21.33145671112343,61.7840024971116,0.2345352560099866
Meru,4,152.87610017500896,21.552569145103686,54.9092395800463,0.5297173293942414
Meru,5,123.48188272952684,23.76869487175769,59.238907146050465,0.46491830082402624
Meru,6,108.0397059813653,25.02345592444993,75.31384441857476,0.7326225096549799
Meru,7,123.67043106142009,24.830072397990058,45.57573954519023,0.41054900753124723
Meru,8,40.49724341596429,26.481549747108073,49.64290562027665,0.27024020985656355
Meru,9,111.21312448649952,24.03900567563372,46.84010568087011,0.28579500923170154
Meru,10,134.28450286046984,28.36060223147195,46.62915209275881,0.6569063790304834
Meru,11,179.11576178966064,23.20602950028613,79.21842336044028,0.5709308379897566
Meru,12,99.2691912690541,32.160507499768855,73.14631437520094,0.26067360567367415
Nyeri,1,87.66025588427249,25.87700204329502,63.96695316349301,0.25046408366899847
Nyeri,2,99.92971825661854,21.42852733075115,48.91336642604006,0.620581478875472
Nyeri,3,156.61608470808295,20.78732250581666,64.6646350046733,0.24365780381851615
Nyeri,4,133.15004438638738,25.447417245729557,63.93887083122263,0.6931160355742139
Nyeri,5,98.80959184931845,23.329611644022446,51.92807479640061,0.6237453362938978
Nyeri,6,140.53069732453423,26.142001482276275,62.35406596951892,0.2488092683851399
Nyeri,7,123.88310197392161,25.419712873720634,60.94018937589494,0.25090262845111516
Nyeri,8,158.74579962131557,23.78151326202938,69.63400392208865,0.7919837471007054
Nyeri,9,91.9178762449059,21.459618845794786,70.40374603470575,0.42456247745367226
Nyeri,10,106.89351413608927,19.455458325942406,46.81216039088178,0.4223852882401346
Nyeri,11,104.3156738747137,22.660455143798938,59.98450458505885,0.6876797403545016
Nyeri,12,61.45940207471526,26.569196382970418,70.03439662856945,0.7683491464303154
