region,age,education_level,gender,marital_status,dependents_count,household_income_sources,employment_type,mpesa_monthly_transactions,utility_payment_timeliness,farm_size_acres,soil_quality_index,farming_years,crop_type_current,past_crop_performance_index,agroclimatic_zone,rainfall_forecast_next_90d,historical_drought_risk,cooperative_member,mobile_advisory_usage,loan_default_past,input_use_history,has_insurance_before,willing_to_subscribe_insurance
Kiambu,64.61149429127991,Secondary,Female,Widowed,0.967107561774526,"['Small Business', 'Remittance']",Full-time,7801.632298432755,0.8016851789950503,0.6778517035236944,0.2420620588667107,20.564588537540047,Beans,0.4403413914698485,Kitale_Z2,133.35114286394864,0.882881082512365,True,True,False,Regular,True,True
Kiambu,18.34995962343768,Primary,Female,Married,3.061814614862673,"['None', 'Remittance']",Full-time,19346.78921855108,0.7505449403428905,4.035949396016879,0.2466677467275551,21.9145968604538,Beans,0.8281031930333392,Kiambu_Z1,276.0667875155771,0.8636310121393058,False,True,False,Irregular,True,True
Embu,33.996001974455595,Secondary,Male,Single,3.058626776594723,"['None', 'Livestock']",Unemployed,19762.274389647555,0.7133420545322606,3.796328323635129,0.2381493360924507,20.01604922242057,Beans,0.3327394028558573,Kitale_Z2,193.0289755097793,1.0055891224907243,True,True,False,Irregular,False,False
Kiambu,59.64308418742935,Secondary,Male,Married,0.8174966831844452,"['Small Business', 'Remittance']",Full-time,2374.595543503161,0.8172002043543966,0.3956751972639851,0.2569033025859091,3.527961752753105,Sorghum,0.704672763742209,Kiambu_Z3,166.75046330518117,0.7148579324153931,False,False,True,Irregular,True,True
Kitale,20.62547200731352,Tertiary,Female,Widowed,2.9261480670757645,"['Small Business', 'Livestock']",Full-time,3580.9181545750807,0.7750710660981914,4.292246309359359,0.267803265236602,2.2552637091439416,Kale,0.9538544910225228,Kiambu_Z3,135.8024423874611,0.5419660260114325,False,False,False,Regular,False,False
Kitale,29.475816930944024,Tertiary,Male,Married,0.9833989453001296,"['Small Business', 'Livestock']",Casual,5223.639326352905,0.6777469681007011,3.869046504843254,0.613724044508109,20.89985626542901,Beans,0.732526228281775,Embu_Z2,111.67531377942716,0.9005971315380564,False,True,False,Regular,True,True
Kiambu,22.976861890455776,Primary,Female,Widowed,0.786631397224022,"['None', 'Livestock']",Full-time,8233.013435405937,0.8916558581905244,1.1003591678891054,0.0963740427570527,8.626027995980303,Beans,0.2506861895496918,Kisumu_Z2,299.93287124419027,0.3665101351422,False,False,False,Regular,True,False
Kiambu,19.51268133871514,Tertiary,Female,Married,2.819955807147698,"['Remittance', 'Small Business']",Full-time,9020.217380614147,0.7788466329795711,3.7164248764554895,0.8454976632708046,24.128326624703227,Kale,0.3020465796629661,Kisumu_Z2,70.5463305498917,0.6385050416685119,False,True,True,Regular,False,True
Narok,23.745742013263943,Primary,Female,Married,3.058707169110137,"['Small Business', 'Livestock']",Self-employed,13029.448519640666,0.5567830221691072,4.096777936848443,0.420893959764388,20.424369399140097,Tomatoes,0.363536055723032,Kiambu_Z1,374.2042736517864,0.8129558297737186,False,False,True,Regular,True,False
Kitale,19.5469022574684,Secondary,Female,Single,4.875480195355688,"['Livestock', 'Small Business']",Self-employed,9678.372774118308,0.7118829900133523,3.666476756507016,0.1317608504607984,20.38148736034177,Beans,0.521168008775869,Narok_Z1,142.4035881134649,0.2017296459105587,False,False,False,Regular,True,True
Kiambu,21.643453501918284,Secondary,Female,Single,5.841079951437617,"['Livestock', 'None']",Full-time,18481.91541470384,0.6137130651979056,3.776288865222887,0.2063583106704413,1.721290144845505,Beans,0.3247627648819958,Kitale_Z2,111.82895156335373,0.8152760309832309,True,True,True,Regular,False,False
Narok,17.548592463534575,Secondary,Female,Single,0.8483378539328945,"['Livestock', 'Small Business']",Full-time,2177.9870123538844,0.6212649180223595,3.670534727696024,0.3255795139257891,15.781673216044046,Kale,0.7776864027909729,Kitale_Z3,111.27219964237544,0.6796190541263856,True,True,True,Irregular,True,False
Embu,28.75480316128516,Primary,Female,Single,6.05621560213145,"['None', 'Livestock']",Full-time,2994.7346554523656,0.9449468170585656,0.4587123524642262,0.4273757263890265,22.890893932737143,Beans,0.3661643027659836,Kiambu_Z2,378.7883590119006,0.7438768580034251,True,False,False,Regular,True,True
Kiambu,42.70119739838375,Secondary,Female,Single,2.1490821820386,"['Livestock', 'Small Business']",Self-employed,16570.288500396935,0.4922788665172353,0.9091346978028654,0.2476592066244379,15.99154424307082,Sorghum,0.9397756847691976,Kiambu_Z3,111.66908342096389,0.3593538847126302,True,True,False,Regular,True,False
Kisumu,27.96909507189992,Primary,Female,Widowed,2.998426817371494,"['Small Business', 'Remittance']",Full-time,1324.5948452128575,0.8876309502530941,2.3400166582076585,0.14782676075361,1.9033755172941365,Tomatoes,0.4431837043370785,Kisumu_Z1,298.5858526689144,0.8979505975755321,False,True,True,Regular,True,True
Kiambu,46.27175185494823,Secondary,Female,Widowed,0.8875568889446935,"['Remittance', 'Livestock']",Unemployed,19327.73977309448,0.8883098305863686,4.788948182891202,0.5840634895910856,13.945065746797772,Kale,0.4088961384500531,Kiambu_Z3,192.69123749389053,0.2181220171168553,False,True,True,Regular,False,True
Kitale,30.72571705126293,Secondary,Female,Married,2.909938328671665,"['None', 'Small Business']",Full-time,8757.976716693602,0.8192481186021714,2.327780298404981,0.5033381318359108,6.303767786627472,Maize,0.4122180320839462,Kitale_Z1,151.85453867149877,0.7983206312892241,False,True,False,Regular,False,True
Kisumu,62.15500375774583,Primary,Female,Single,1.1894949036586056,"['None', 'Livestock']",Full-time,18860.29695658873,0.6077908057357831,4.575681000674455,0.2578170977878116,25.087164223229045,Kale,0.7547676652220622,Narok_Z2,68.09410333911381,0.197729723556349,True,False,False,Irregular,True,True
Kiambu,60.29976599244707,Tertiary,Male,Married,2.6847123045069603,"['Remittance', 'Livestock']",Full-time,8093.963200008272,0.684432355475687,1.7089924392746865,0.3697909363049331,22.21238425673728,Kale,0.2862541321373528,Kiambu_Z3,180.07626178475056,1.061032809785628,True,True,False,Irregular,True,False
Narok,47.5115798154885,Primary,Male,Married,3.116985025945535,"['Livestock', 'Small Business']",Self-employed,19590.78112507501,0.9020475903198458,3.527037471932466,0.6315898183027399,16.677745127802257,Tomatoes,0.4268627071622947,Kiambu_Z3,138.21979668585467,0.287458328014159,False,True,False,Irregular,True,True
Kisumu,23.99942851609392,Tertiary,Male,Single,4.930949766227352,"['Livestock', 'Remittance']",Unemployed,15975.156928120196,0.6861816484805248,1.6290215413376186,0.2399241332338602,22.13808000990589,Sorghum,0.8182392045252597,Kiambu_Z1,379.3631869768459,0.4510773151199434,False,True,False,Regular,False,True
Narok,20.098665675039143,Tertiary,Male,Widowed,4.718025900798443,"['None', 'Small Business']",Full-time,4648.281665569278,0.7558954166595157,1.251653349286426,0.6860125752821266,2.1343593905890983,Beans,0.5011924348235477,Narok_Z2,398.5018485630996,0.6766411762134029,False,False,True,Regular,True,True
Kisumu,28.0,Primary,Female,Widowed,6.0,"['Livestock', 'Small Business']",Full-time,18669.24,0.46,4.45,0.6,4.0,Maize,0.82,Kisumu_Z1,145.3,0.6,False,True,False,Regular,False,False
Kiambu,23.79421932453752,Secondary,Female,Single,1.13507566447562,"['None', 'Remittance']",Self-employed,13784.99811806525,0.4313671875984821,2.7048950305239856,0.1910483416147246,25.876108078559188,Tomatoes,0.9210866611522728,Embu_Z3,191.3099103415861,0.3767954945214933,False,True,True,Regular,True,True
Narok,22.31137081144451,Secondary,Male,Widowed,3.008858134118172,"['Small Business', 'Remittance']",Full-time,8347.439343360607,0.9040585813607414,1.746783431715261,0.5434072153474995,15.156352496486168,Beans,0.5710308773119015,Kitale_Z2,136.70190938224985,0.8094676078536549,False,False,True,Regular,False,False
Kiambu,43.47389547827834,Primary,Female,Widowed,0.8284493688570361,"['Livestock', 'Small Business']",Casual,19188.77815410407,0.7412595777030785,3.5960476518244047,0.3733957645192703,4.660743463413589,Beans,0.9475188547602534,Embu_Z3,368.00916164291806,0.2771376968313139,False,True,True,Regular,False,False
Kitale,61.314589300763615,Primary,Female,Single,3.100605458571293,"['Small Business', 'Remittance']",Self-employed,5320.159220558208,0.9605873873742466,0.4601841776792749,0.494437264958964,3.938973800693629,Kale,0.4289722771691811,Kiambu_Z3,195.28710418505548,0.3235056763484669,True,False,False,Regular,False,True
Kiambu,33.02763744303598,Secondary,Female,Married,4.050861825510975,"['Small Business', 'Livestock']",Self-employed,5780.996398810551,0.6848931781506624,3.8905304242987886,0.2925514504889263,17.506005632437883,Sorghum,0.6091069456233298,Kiambu_Z1,375.63029723311246,0.649732315682118,False,False,True,Irregular,True,False
Embu,63.85695952703515,Primary,Female,Single,4.089495033489896,"['None', 'Small Business']",Casual,11902.846086758967,0.8916458452432189,4.30271316344333,0.6821677498299754,21.921531204686897,Beans,0.7819823896382252,Embu_Z3,358.7227508286752,0.8270676136916559,True,False,True,Regular,False,True
Kitale,20.62404195235948,Secondary,Female,Widowed,5.949189964758765,"['None', 'Remittance']",Unemployed,19462.52087665798,0.8315501755792523,4.460802933200488,0.2495637969929685,0.9840249338166254,Beans,0.8394584582916926,Embu_Z2,148.33764473194344,0.6047532867342701,True,True,False,Regular,False,True
Kisumu,24.0674140646632,Secondary,Female,Widowed,5.866544890425693,"['Small Business', 'Livestock']",Casual,17236.352578794624,0.3869279070241005,1.600947847216963,0.502745637923529,7.977756045388253,Tomatoes,0.7852818830496285,Kisumu_Z1,134.20822514568147,0.5143344076273231,True,False,True,Regular,True,False
Kitale,61.06523237144074,Secondary,Male,Widowed,3.1559502192773614,"['Livestock', 'Small Business']",Self-employed,2679.939085323409,0.6388867201402311,1.0773848973194522,0.6715970216707702,1.1817326977353189,Beans,0.679712902590623,Kiambu_Z3,173.63396700728626,0.3102113220873362,False,False,True,Irregular,True,True
Embu,31.278297621194465,Tertiary,Female,Single,0.91440486348013,"['Livestock', 'Small Business']",Full-time,10954.674176758988,0.8134405881213944,1.017547735966173,0.1884032996044915,8.52755509532818,Beans,1.004455363866751,Kiambu_Z2,106.00447663292132,1.0639140450745497,False,True,True,Regular,True,True
Kiambu,22.630691794659395,Secondary,Female,Single,2.646761509676486,"['Remittance', 'Livestock']",Self-employed,14939.142754244423,0.6561130877910876,1.5472214668232886,0.5409606237153315,4.261888286857261,Kale,0.7174056806404481,Kitale_Z3,181.3029033959062,0.9394504738117736,False,True,True,Regular,True,False
Narok,32.59980182051362,Primary,Female,Married,1.204089168467946,"['None', 'Remittance']",Full-time,2059.3330833064933,0.8454010662327945,4.464192718738627,0.4137623047811304,3.634453603863381,Beans,0.969355883042274,Kiambu_Z2,194.87828759393787,0.1635534937580694,True,True,False,Irregular,True,False
Kisumu,23.91813940597183,Secondary,Female,Single,0.6417493937995868,"['Livestock', 'Small Business']",Casual,7929.721226901701,0.7035849205149192,0.9113227908409453,0.8345083563708245,25.419384188451613,Beans,0.8864698022302167,Kiambu_Z1,196.1280884238847,0.2342903098184043,True,True,True,Regular,False,False
Kiambu,44.34507362098215,Secondary,Male,Single,0.8652739244621737,"['None', 'Remittance']",Self-employed,12176.513446180126,0.8357034417094081,1.501602362593049,0.2943492870827639,3.845865028406767,Beans,0.6455486083033946,Embu_Z2,300.916334370615,0.0399670127051755,False,False,True,Regular,True,True
Embu,23.43845810224394,Secondary,Female,Single,-0.2335481306475676,"['Small Business', 'Remittance']",Self-employed,7809.136824989629,0.3696406970867816,4.103757678153651,0.5091197337527125,0.8720297492951532,Beans,0.5258901669925437,Kitale_Z3,280.0332459693716,0.2429745582868439,True,True,False,Regular,True,True
Kiambu,47.49287272843094,Secondary,Male,Single,-0.1204125941522393,"['Livestock', 'Small Business']",Unemployed,1615.425509682871,0.7534832590506673,3.5124871014218804,0.7520163898641677,25.070771871717483,Beans,0.5576119469852318,Narok_Z1,193.69224278676413,1.0732919109276493,False,False,True,Regular,True,False
Kitale,43.13256295186963,Secondary,Male,Married,4.1394617381312,"['Livestock', 'Small Business']",Self-employed,1918.553412101386,0.9872709884624278,3.543103026960813,0.1996206701997622,15.437999578118694,Beans,0.6308405243623999,Kitale_Z2,187.1908737356086,0.2537039897235121,False,True,False,Irregular,True,False
Kiambu,32.50256606702799,Secondary,Male,Single,5.085937187133425,"['Livestock', 'Small Business']",Self-employed,15486.317369402414,0.6577505510198123,3.78295915022394,0.2043848115342307,6.942868289215774,Beans,0.5241733851790669,Kisumu_Z1,285.21744475545285,0.601269318841991,False,False,False,Irregular,False,False
Kitale,28.413875616867767,Primary,Female,Widowed,3.149903648143211,"['None', 'Small Business']",Full-time,9107.075185584034,0.6012456501635488,1.903996496954421,0.6245740255741743,24.68341154845958,Maize,0.4516491315920339,Narok_Z1,369.71009243501976,1.0702798176179174,False,False,True,Regular,True,True
Embu,60.5996849722582,Secondary,Male,Married,2.916813723212675,"['None', 'Remittance']",Self-employed,4846.30021383459,0.744939826686915,2.625930001593759,0.1235573080444426,8.004965640036716,Sorghum,0.6470672213436589,Kitale_Z2,172.074808839922,0.9821425254762196,False,True,True,Regular,True,True
Kiambu,32.91154750888473,Secondary,Male,Single,3.170440592669161,"['Small Business', 'Livestock']",Full-time,13475.605369339944,0.9328757390412418,4.497018063768304,0.5117652976399664,21.738998921098208,Beans,0.627357751863974,Kiambu_Z1,149.84960180508233,0.1551796407909195,False,True,False,Irregular,False,False
Kitale,18.7958668632768,Secondary,Male,Widowed,3.036520100627614,"['Livestock', 'Small Business']",Self-employed,15309.33192524182,0.7587600379771472,3.788940228441202,0.2043270130582672,7.667104593768885,Beans,1.0192914367316923,Embu_Z2,298.1606965926981,0.986515302446902,False,False,False,Regular,True,False
Narok,59.78061875116593,Primary,Male,Widowed,5.358378086557446,"['Small Business', 'Livestock']",Full-time,16140.36823922332,0.7221439837279758,1.5808411912837377,0.4028917675559914,25.61040823480409,Kale,0.861677838616057,Kisumu_Z1,195.36247049240907,0.8974501262934942,False,True,False,Regular,True,True
Kitale,33.576411698504714,Secondary,Female,Married,0.0857645703684404,"['Small Business', 'Remittance']",Casual,1499.5682274281949,0.8703702724458054,3.625837284003706,0.5917941001763513,2.2347276651088888,Beans,0.3317741332436574,Kiambu_Z3,397.6935571708648,0.928971697402696,False,True,False,Regular,True,False
Kiambu,23.47523130085009,Secondary,Male,Widowed,3.10205584913191,"['Remittance', 'Small Business']",Self-employed,18852.51565465054,0.8238966157373966,2.6989247963308896,0.3350119336519064,1.0249181245489165,Sorghum,0.9493756940431294,Kiambu_Z2,104.69407267763684,0.9461341355839168,False,True,False,Irregular,True,False
Kiambu,19.8267023017764,Secondary,Male,Single,2.9850195522357845,"['Small Business', 'Livestock']",Casual,3444.8820936926745,0.8594779572474643,3.586849313449146,0.6282807359221517,21.22830161980449,Beans,0.5874199008878548,Kisumu_Z2,368.6084537778911,0.3101615209800288,True,True,True,Regular,False,True
Kitale,43.59848882892231,Secondary,Male,Widowed,0.7298767448087929,"['Small Business', 'Livestock']",Casual,1662.7619893589442,0.7710409194567672,2.640082730949909,0.2943521670011105,16.85787221653245,Kale,0.7830175088112972,Narok_Z1,168.11972639476974,0.2499693323290309,False,True,False,Irregular,True,False
Kisumu,66.34747373901058,Primary,Female,Single,0.0221585573925429,"['Small Business', 'Remittance']",Full-time,13534.241237435212,0.8700954801456071,2.0942927590394955,0.1423240652401295,3.876960186796688,Beans,0.9606432460134164,Kiambu_Z2,173.8792380972547,0.6167739841839146,True,True,False,Regular,False,False
Kitale,16.901671915090176,Secondary,Male,Widowed,3.080677520784919,"['Remittance', 'Livestock']",Self-employed,2014.439759404716,0.9441621440381276,1.703132179796356,0.218302651937801,17.997123709428106,Beans,0.4183326264135261,Kitale_Z2,65.43387906106238,0.2328286810685076,False,True,False,Regular,True,False
Embu,59.47860314283982,Primary,Female,Single,3.0399121659773685,"['Small Business', 'Remittance']",Full-time,7369.08291849063,0.4506810412383508,3.517793904721806,0.3837343603021711,19.682413672816462,Beans,0.6489117038677875,Kiambu_Z1,279.6041742277945,0.3811253016479783,False,True,False,Regular,False,True
Embu,19.79988283731248,Secondary,Female,Widowed,1.8522603721091608,"['Livestock', 'Small Business']",Self-employed,7159.221507408583,0.8999245420364497,4.812067892798832,0.7982641354145948,13.149747626319105,Kale,0.5714273948584129,Kiambu_Z3,190.652525310026,0.8863999674238262,False,False,False,Regular,False,False
Narok,60.342424121991016,Secondary,Female,Single,4.869908065651628,"['None', 'Remittance']",Full-time,8986.044873519286,0.8064597408828558,2.764041764592828,0.4428733165629963,16.715037341654053,Tomatoes,0.7925977634559446,Kisumu_Z1,281.34037483390705,0.8574046607837826,False,True,True,Regular,False,False
Narok,32.25403120714656,Primary,Female,Widowed,5.109731793045143,"['Livestock', 'Small Business']",Self-employed,1348.771498718873,0.4939547846404475,2.783970940548385,0.3371281000807413,13.30829353044027,Sorghum,0.3959885360873318,Embu_Z2,197.8266633422519,0.5692445953322284,False,True,True,Regular,True,False
Kisumu,21.162906124891265,Primary,Male,Widowed,3.038205072695113,"['Small Business', 'Remittance']",Full-time,11500.84148787863,0.878505751485217,1.6925815256082963,0.5166255019385099,5.950691940865692,Beans,0.998216721410748,Embu_Z3,69.7531338593153,0.846837841750518,False,False,True,Irregular,False,True
Kisumu,20.0,Secondary,Male,Widowed,1.0,"['Livestock', 'Remittance']",Unemployed,19489.82,0.85,4.67,0.5,6.0,Beans,0.92,Kisumu_Z1,112.8,0.92,False,True,False,Regular,True,False
Kiambu,61.33580049930499,Primary,Male,Single,0.9266430145315612,"['Small Business', 'Remittance']",Full-time,2517.3208762021377,0.4658485993921069,3.750425734549358,0.6735041854597846,22.2979734975972,Kale,0.3610531625274221,Kitale_Z1,182.9450979466002,0.5349083925730419,False,False,False,Regular,False,False
Kitale,20.145701879679294,Primary,Female,Single,2.040216497820472,"['Livestock', 'Small Business']",Casual,7481.096697227454,0.9637970537750312,1.8663136498490616,0.5331486226875676,22.827661329281025,Kale,0.824002736736009,Kiambu_Z2,107.42280326231042,0.7609094323585439,False,False,False,Regular,True,False
Kiambu,32.454885995521906,Secondary,Female,Married,3.934299096098528,"['None', 'Small Business']",Full-time,5618.08400474644,0.6209299107444444,4.286992942111043,0.7528082788421612,18.19691920327921,Beans,0.5718399532739066,Narok_Z2,296.49424579610144,0.8880752184584124,True,True,True,Regular,False,False
Kitale,31.6605336858804,Tertiary,Male,Single,1.0443711008249026,"['None', 'Remittance']",Casual,19094.70815047216,0.8043506253400131,4.462682849327568,0.493266865266109,23.589215875757343,Beans,0.3642718482879526,Kitale_Z1,200.9015053384576,0.9247301349137615,False,True,True,Irregular,True,True
Narok,46.47154950833311,Secondary,Male,Widowed,3.032709424882557,"['None', 'Remittance']",Self-employed,19000.656455409266,0.7750061706877837,4.302348745772695,0.6562564985256395,18.55185392850756,Kale,0.3013358460315233,Narok_Z1,190.8340832756629,1.025297883233303,False,True,True,Regular,False,True
Kiambu,23.835970091416225,Secondary,Female,Widowed,3.087142944541013,"['None', 'Small Business']",Casual,7623.576479150323,0.7419756362915884,3.457737333468919,0.568770746667846,12.738379187554631,Kale,0.7125821188156116,Embu_Z2,397.2156047001101,0.1226838364323331,True,False,True,Regular,True,True
Narok,25.04101944838427,Secondary,Male,Married,1.0239620904320288,"['None', 'Remittance']",Self-employed,19241.750947984427,0.7545921128616553,1.5816412005183382,0.7297472258369027,0.9957988078898812,Kale,0.5174353047920495,Narok_Z1,174.56525587304003,0.5559016466856362,False,False,False,Irregular,False,False
Kiambu,35.280697247316375,Secondary,Female,Single,2.7999582688398097,"['Livestock', 'Remittance']",Full-time,2601.1597397863698,0.3085190894082731,4.184626364043142,0.7938654672500085,8.25863612275259,Maize,0.5089233883884371,Kitale_Z3,100.26248132356903,0.5320718761485708,False,True,True,Irregular,True,True
Kiambu,43.29830583857712,Tertiary,Male,Married,4.040880611075994,"['Livestock', 'Small Business']",Full-time,11321.81689615616,1.0560448192988043,4.225075049496991,0.2890102985814345,25.272139475826226,Maize,0.8325110738635388,Kiambu_Z3,144.49568590268044,0.2909476347890619,False,False,False,Regular,True,False
Kitale,61.02145711982331,Tertiary,Female,Married,4.856741460122535,"['Livestock', 'Small Business']",Full-time,7191.660693534055,0.7381086212942428,1.5779778995433662,0.2693940951836496,15.192129256547576,Beans,0.4287564977799998,Kitale_Z3,132.24548948757567,0.3350734264198005,True,True,True,Regular,False,True
Kiambu,18.69783472124121,Secondary,Female,Widowed,1.080486733012245,"['Small Business', 'Livestock']",Self-employed,3665.013139241621,0.6459816901498923,1.6957912472924064,0.5939484837720779,8.522689262358892,Beans,0.7758993262129597,Kiambu_Z3,378.2444348149386,0.5292972420660211,False,True,False,Regular,True,False
Narok,18.0,Tertiary,Male,Single,3.0,"['None', 'Remittance']",Casual,17360.68,0.94,1.24,0.2,13.0,Sorghum,0.95,Narok_Z2,149.8,0.7,False,True,True,Irregular,True,True
Kiambu,23.89317807358539,Primary,Male,Married,2.880986206411216,"['None', 'Small Business']",Casual,4266.432514098684,0.5426757550876279,3.636262476728716,0.175068577026707,17.76737196848274,Maize,0.8675435464799309,Kiambu_Z3,176.51037576469835,0.538741084049358,False,True,False,Irregular,False,True
Kitale,23.86998959306517,Tertiary,Female,Widowed,4.698706338751239,"['Livestock', 'Remittance']",Self-employed,7534.105118261681,0.7210699161826626,4.3659146369206345,0.4665011935090082,8.090629857154198,Beans,0.7219177123947835,Embu_Z1,78.2180425878933,0.8798707350724706,False,True,True,Regular,False,False
Kiambu,31.474385342847047,Primary,Female,Single,6.098499396368887,"['Small Business', 'Livestock']",Self-employed,11914.835184489928,0.7992284534456927,2.5449998993835026,0.1699886971267122,17.46107474010721,Beans,0.9551346407878896,Kiambu_Z3,187.6368395196323,0.6679280373056832,False,True,True,Regular,False,False
Kitale,64.21640711825175,Secondary,Female,Widowed,2.118846209411328,"['None', 'Small Business']",Full-time,8742.78932449516,0.6065757319795102,3.784661255827377,0.3562865321175716,22.42917368677089,Kale,0.984592229348523,Kiambu_Z3,276.53046385532264,0.6553885949959839,True,False,True,Regular,False,True
Kitale,59.21737002178845,Secondary,Female,Single,2.1491958818083887,"['Livestock', 'Remittance']",Full-time,17036.233922266143,0.5938927459955586,2.6167306766449268,0.440567057711654,17.33472768164466,Beans,0.7578180598519494,Kiambu_Z2,127.3610857534405,0.870847438574995,False,False,True,Regular,True,True
Embu,17.989484925180637,Primary,Female,Widowed,6.071298231790729,"['None', 'Remittance']",Unemployed,1550.2880193734552,0.9270942579416842,1.5182338810130789,0.6240589082317753,7.531735174194734,Kale,0.8217058922069671,Kitale_Z2,285.56912626121647,0.2778656279513824,False,True,True,Regular,True,True
Embu,16.037879223522438,Secondary,Female,Single,5.280976333902757,"['Small Business', 'Remittance']",Full-time,17689.96333976531,0.660799482623277,3.7988239624950655,0.2977619012209463,23.838811572417587,Maize,0.4746189181160298,Kisumu_Z1,120.71453977829022,0.8972001249353989,False,True,True,Regular,True,True
Kiambu,20.420582669059776,Secondary,Female,Widowed,3.930498635269776,"['None', 'Remittance']",Full-time,19646.473521678723,0.8867140557748011,4.86555168658163,0.5166619529789532,3.85696738891261,Kale,0.8580610088732924,Kitale_Z3,186.5082630473668,0.212171597253698,True,True,False,Regular,False,True
Kiambu,21.84918374276518,Secondary,Female,Married,2.903031645654484,"['None', 'Small Business']",Self-employed,11496.210084043656,0.527857199801241,0.7143089041327049,0.5106957091504637,8.61922424750225,Kale,0.4915905572352697,Kiambu_Z3,129.50312819804518,0.7968018764480095,True,False,False,Irregular,True,False
